데이터 구분,개설년도,개설학기,개설대학,개설학과,이수구분,학년,과목코드,분반,과목명,학점,담당교수,강의시간(실제),강의실정보,수강정원,수강신청인원,꾸러미신청인원,비고
공학전공1,2025,1학기,공과대학,섬유시스템공학과,공학전공,4,DYFI0250,001,섬유캡스톤디자인,3,김종호,"수 16:30 ~ 18:00,월 16:30 ~ 18:00",산격동 캠퍼스  공대1호관,45,20,18,<b>SU평가강좌</b> 
공학전공1,2025,1학기,공과대학,섬유시스템공학과,공학전공,4,DYFI0415,001,섬유고분자실험,2,김한도,"목 09:00 ~ 10:00,목 10:00 ~ 11:00,목 11:00 ~ 12:00,목 12:00 ~ 13:00",산격동 캠퍼스  공대12호관,45,22,20,<b>SU평가강좌</b> 
공학전공1,2025,1학기,공과대학,섬유시스템공학과,공학전공,4,DYFI0497,001,IT융합형 스마트 텍스타일,3,김태경,"목 16:30 ~ 18:00,화 16:30 ~ 18:00",산격동 캠퍼스  공대1호관,45,31,28,
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,3,ACEN0241,001,수리학및실험1,3,김병현,"화 14:00 ~ 15:00,화 15:00 ~ 16:00,목 16:00 ~ 17:00,목 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,39,37,39,
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,3,ACEN0241,002,수리학및실험1,3,김병현,"목 14:00 ~ 15:00,목 15:00 ~ 16:00,화 16:00 ~ 17:00,화 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,30,39,28,
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,2,ACEN0261,001,측량학 및 실습,3,서건원,"월 14:00 ~ 15:00,월 15:00 ~ 16:00,수 16:00 ~ 17:00,수 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,30,29,30,(영어) 
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,2,ACEN0261,002,측량학 및 실습,3,서건원,"수 14:00 ~ 15:00,수 15:00 ~ 16:00,월 16:00 ~ 17:00,월 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,30,30,25,(영어) 
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,3,ACEN0463,001,구조역학,3,이성철,"화 09:00 ~ 10:30,목 10:30 ~ 12:00",산격동 캠퍼스  공대2호관,70,72,63,
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,2,CVLE0271,001,건설가치공학 및 실습,3,김병수,"화 14:00 ~ 15:00,화 15:00 ~ 16:00,목 16:00 ~ 17:00,목 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,30,25,25,
공학전공1,2025,1학기,공과대학,토목공학과,공학전공,2,CVLE0271,002,건설가치공학 및 실습,3,박진영,"목 14:00 ~ 15:00,목 15:00 ~ 16:00,화 16:00 ~ 17:00,화 17:00 ~ 18:00",산격동 캠퍼스  공대2호관,30,16,16,
